name,rating,title,body,date,date_raw,issue_list,is_business,churn_score,churn_risk_level
Zubaid Mahmud Firoz,5,Good,Very efficient service,2026-04-01 00:52:12+00:00,2 days ago,[],False,0,LOW RISK (Healthy)
Dario Lorini,4,Best card reader ever,"Best card reader ever it reads every card The service overall is not the cheapest, sometimes it forces you to buy another device, but you should give it a try Bank transfers are immediate while incoming sells are not as quick, but they take one hour at most Used for 9 years now",2026-03-31 22:05:11+00:00,2 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
simon Driscoll,1,Nothing worked,,2026-03-31 19:53:29+00:00,2 days ago,['General Dissatisfaction'],False,60,HIGH RISK (Churn Likely)
Tajae Tyrell,1,Paid for a service,"Paid for a service , didn’t get the service I received , sent Sumup evidence and they refused to deal with it or refund me what I lost which is ludicrous and very poor service",2026-03-31 18:12:56+00:00,2 days ago,['Pricing/Refunds'],False,60,HIGH RISK (Churn Likely)
patrice brunet,5,Easy Efficient,Easy Efficient,2026-03-31 17:47:13+00:00,2 days ago,[],False,0,LOW RISK (Healthy)
Richard lee,1,Steer clear of this crowd,"Steer clear of this crowd, totally unprofessional and incompetent, paid out 2 payments to Ryanair and refused to sort it out, contact them yourself I was told, glad to be rid of them 🙏",2026-03-31 17:11:54+00:00,2 days ago,['General Dissatisfaction'],False,60,HIGH RISK (Churn Likely)
Custom Sway,1,disgusting service and trying to control my money,"I have been close to tears many times with sumup and have had to search very hard for a phone number which is just an automated machine that does not connect me to anyone the online chat was, frankly, utterly useless, and seemed like an exercise is causing a paying customer more grief  I joined SumUp in good faith of being a longterm customer, but find that they sell my business information, they do not like to pick up phone calls, they do not want to solve any customer problems, and they have tied up my money I am feeling stuck because I feel they are manipulatively tying up funds of my business and dealing with me at arms length in order to keep control of my funds Disgusted, Frankly with their behaviour  will not be recommending them to any one I know",2026-03-31 15:34:34+00:00,2 days ago,"['Support failure', 'Account/Funds Blocked', 'Technical/Hardware', 'Pricing/Refunds']",False,60,HIGH RISK (Churn Likely)
Durga,5,It made my business very hassle free…,It made my business very hassle free payout were on time and very easy to manage the business cash flow Thanks sumup,2026-03-31 15:29:17+00:00,2 days ago,[],False,0,LOW RISK (Healthy)
Anon,4,Generally good but recently had a tech…,"Generally good but recently had a tech issue, and customer service were so slow to respond I had to work it out for myself",2026-03-31 15:24:30+00:00,2 days ago,[],False,0,LOW RISK (Healthy)
Christine,4,I am happy with the service I have…,I am happy with the service I have received so far No problems,2026-03-31 14:52:58+00:00,2 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Daniel Huggins,1,"SumUp Broke Promises, Disabled Features, and Now Charges Extra","SumUp Broke Promises, Disabled Features, and Now Charges Extra  I switched from Square to SumUp because their rep promised me the world I deeply regret it Without warning, they disabled my till adjustment feature and now demand £29 a month for what was included Their customer service is a joke—they don’t care and don’t help This is my third complaint in 18 months Over Christmas, my machine failed completely SumUp is a giant taking liberties, monopolizing small businesses while ignoring us I was happy with Square and left only for SumUp’s promises Don’t fall for them They flip functions off without notice, then hold them ransom Avoid SumUp",2026-03-31 14:29:08+00:00,2 days ago,"['Support failure', 'Account/Funds Blocked', 'Technical/Hardware', 'Pricing/Refunds']",False,60,HIGH RISK (Churn Likely)
N F Taxi,5,Very trustable,"Very trustable, fast, works with every card",2026-03-31 13:43:27+00:00,2 days ago,[],False,0,LOW RISK (Healthy)
Sabir Hamza,1,It’s shit never go for it,"It’s shit never go for it , no customer service",2026-03-31 12:16:56+00:00,2 days ago,['General Dissatisfaction'],False,60,HIGH RISK (Churn Likely)
Tarkan Sert,5,Beste Kartenzahlungs system ever,"Beste Kartenzahlungs system ever Onlineshop, Rechnung Tools alles Bombe",2026-03-31 12:06:30+00:00,2 days ago,[],False,0,LOW RISK (Healthy)
Mat,5,Super super,,2026-03-31 12:05:30+00:00,2 days ago,[],False,0,LOW RISK (Healthy)
Ahsan Javaid,5,Excellent service,Excellent service,2026-03-31 11:52:53+00:00,2 days ago,[],False,0,LOW RISK (Healthy)
George,5,Very useful,Very helpful but dot accept some cards,2026-03-31 10:10:13+00:00,2 days ago,['Support failure'],False,0,LOW RISK (Healthy)
Hasan Adam,1,I don’t like to,I don’t like to,2026-03-31 07:33:40+00:00,2 days ago,['General Dissatisfaction'],False,60,HIGH RISK (Churn Likely)
Imran Shoukat,5,Gr8 service,,2026-03-31 02:18:36+00:00,3 days ago,[],True,0,LOW RISK (Healthy)
Annalisa Slocombe,5,Great,Great Easy to use Fast payments,2026-03-30 23:06:09+00:00,3 days ago,[],False,0,LOW RISK (Healthy)
Steve Lee,1,Been waiting for over 2 weeks on a…,"Been waiting for over 2 weeks on a response about a fraudulent payment, but received nothing  These useless, incompetent idiots dont care  AVOID",2026-03-30 20:56:09+00:00,3 days ago,['General Dissatisfaction'],False,60,HIGH RISK (Churn Likely)
Daniele Monaco,4,basic bank account that i use for…,basic bank account that i use for banking operations and to send payment links its fast and simple to use the embedded ecommerce feature is fine for small business dont expect prolevel function unless you pay for the plus version,2026-03-30 20:16:27+00:00,3 days ago,[],False,0,LOW RISK (Healthy)
Khurram Hayat,5,Easy to open hassle free business…,Easy to open hassle free business account for startup or full grown business,2026-03-30 20:10:52+00:00,3 days ago,[],False,0,LOW RISK (Healthy)
Mr ian miller,5,Brilliant fantastic,Brilliant fantastic,2026-03-30 20:02:41+00:00,3 days ago,[],False,0,LOW RISK (Healthy)
Saleh Mahmoodi,5,Thank you for your support,Thank you for your support,2026-03-30 17:56:59+00:00,3 days ago,['Support failure'],False,0,LOW RISK (Healthy)
olasunkanmi oduwole,4,Better,Company doing well,2026-03-30 17:38:10+00:00,3 days ago,[],False,0,LOW RISK (Healthy)
Chris Stanford,1,"Waste of time, effort and money","Waste of time, effort and money  The first time that Id tried to establish some means for receiving payments I wish Id read other reviews on this site before opting for Sumup Guidance received with the terminal was minimal subsequent efforts to register for an account were convoluted and unsuccessful Idve welcomed some guidance from the support centre but this appeared to be no more than an unhelpful chat bot It would be marvellous if Sumup would make contact and offer some assistance to a novice such as myself, but Ill not hold my breath As such, Im afraid I can neither use, nor recommend, Sumup ever again",2026-03-30 17:23:45+00:00,3 days ago,"['Support failure', 'Account/Funds Blocked', 'Technical/Hardware']",False,60,HIGH RISK (Churn Likely)
Ursula Riedl,5,the best chose in payment,the best chose in payment,2026-03-30 16:19:33+00:00,3 days ago,[],False,0,LOW RISK (Healthy)
Tino EDO,5,HAPPY DAYS,I feel great Because Sumup is great,2026-03-30 16:46:34+00:00,Updated 3 days ago,"['Technical/Hardware', 'Pricing/Refunds']",False,0,LOW RISK (Healthy)
MICRO MEMBRANE SYSTEMS,1,Terrible waste of time with their…,"Terrible waste of time with their customer service All I wanted to do was to find out why my products we not being listed into their online store Spent 30 minutes going around in circles with a chatbot Eventually got passed to one human, then another and then another Eventually cut off due to lost connection Problem not solved at all Whole morning wasted to no avail I gave up",2026-03-30 15:35:54+00:00,3 days ago,"['Support failure', 'Technical/Hardware']",False,60,HIGH RISK (Churn Likely)
John Graham,5,I love using SumUp as my payments…,"I love using SumUp as my payments system, 100 Happy",2026-03-30 12:37:54+00:00,3 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
John Urquhart,5,Sum up app,We find the sum up great easy to use and compact we use in daily and think it is great,2026-03-30 11:15:09+00:00,3 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Pavlos Teriakis,5,Amazing,"Accepts all card with no problems , small commission and also mentions any single detail  How much was the transaction and the exact amount of price that you get",2026-03-30 10:40:01+00:00,3 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Bacim Krouna,5,Good bank…,,2026-03-30 10:39:58+00:00,3 days ago,[],False,0,LOW RISK (Healthy)
Mariona,1,Very disappointed about SumUp,"Very disappointed about SumUp The device stopped working after a few weeks, I can only accept payment through my mobile phone in my shop I made several resets, etc, without success I used the chat, tried to contact support by phone, wrote emails I claimed several times and got no response Only one call from a robot AI two weeks ago asking if I prefer to talk to a human who was supposed to call me back I asked for it and never got a call or a response, no email, no message, no call I bought the device for my Shop and cannot use it I have finally requested a device now from my bank and will be obliged to quit sumup due to lack of support Seemed to be very promising, as before I was a customer I was contacted personally several times by a sales person, after I bought the device no way to get in touch to anyone It‘s a pity Very disappointing",2026-03-30 09:45:30+00:00,3 days ago,"['Support failure', 'Technical/Hardware']",False,60,HIGH RISK (Churn Likely)
Eye test,5,Next day instant payout,,2026-03-30 08:54:04+00:00,3 days ago,[],False,0,LOW RISK (Healthy)
Simon Rushton,5,We’ve used SumUp for nearly four years,"We’ve used SumUp for nearly four years, very glad we chose them then as the range and sophistication of their products and services have grown substantially Considering the complexity of managing all that change the systems have been robust and reliable Payouts are prompt All good",2026-03-30 08:49:08+00:00,3 days ago,[],False,0,LOW RISK (Healthy)
waraporn west,5,Esay to ues helpfull my business thanks,Esay to ues helpfull my business thanks,2026-03-30 08:49:04+00:00,3 days ago,['Support failure'],False,0,LOW RISK (Healthy)
Swanbarberltd,5,Way easier than most of the machines…,Way easier than most of the machines you guys use 👌👌,2026-03-30 02:48:42+00:00,4 days ago,['Technical/Hardware'],True,0,LOW RISK (Healthy)
Mahfooz Rood,5,Excellent work,Excellent work,2026-03-30 00:45:56+00:00,4 days ago,[],False,0,LOW RISK (Healthy)
Daniel S,1,Absolutely the worst company I have…,Absolutely the worst company I have tried to deal with Im trying to join the service Ive been trying to reach them for 3 days First day I pushed 1 to stay in the queue and get called back No call ever came Ive tried calling 23 times and waiting on the line and after waiting for 20 minute it automatically goes to the survey of my call which never happened Ive emailed them and have not received any replies If this is their customer service and sales how does this company exist It would be amazing if I could even talk to someone there Avoid at all costs,2026-03-29 21:46:55+00:00,4 days ago,"['Technical/Hardware', 'Pricing/Refunds']",False,60,HIGH RISK (Churn Likely)
Noel Keane,5,One of the best things business wise I…,One of the best things business wise I have done is sign up to Sum up I have been with them a number of years always on the mark,2026-03-29 20:43:38+00:00,4 days ago,[],False,0,LOW RISK (Healthy)
DANIEL PHILIP FISHER,5,Brilliant and simple,Brilliant and simple,2026-03-29 19:08:05+00:00,4 days ago,[],False,0,LOW RISK (Healthy)
Merat Hendi,5,fantastic and quick,,2026-03-29 17:01:35+00:00,4 days ago,[],False,0,LOW RISK (Healthy)
William Stein,5,Sum up,Application très simple,2026-03-29 14:21:28+00:00,4 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Patrick Fairhead,5,Help guys really help if ya get stuck…,Help guys really help if ya get stuck but works well,2026-03-29 13:17:33+00:00,4 days ago,['Support failure'],False,0,LOW RISK (Healthy)
Damian Kelly,5,Simple to use,Simple to use Get my money next day Would be lost without it,2026-03-29 13:09:52+00:00,4 days ago,['Account/Funds Blocked'],False,0,LOW RISK (Healthy)
Paul,5,Enables us to take card,,2026-03-29 11:47:40+00:00,4 days ago,[],False,0,LOW RISK (Healthy)
Alex S,1,"Just set up an account for the bar,","Just set up an account for the bar,  Bounced and deleted all profile and now can’t set up a new account, there are better apps out there",2026-03-29 11:33:29+00:00,4 days ago,['Technical/Hardware'],False,60,HIGH RISK (Churn Likely)
Mr Flaherty,5,Simple and easy to use,Simple and easy to use,2026-03-29 10:54:57+00:00,4 days ago,[],False,0,LOW RISK (Healthy)
Chidi Emelue,5,Faster way of receiving payment and…,Faster way of receiving payment and efficiency,2026-03-29 09:55:36+00:00,4 days ago,[],False,0,LOW RISK (Healthy)
maartenjlamers,2,No client support is provided or…,"No client support is provided or reimbursed for the fraudulent online payment service  Asked for assistance and no one got back promising to contact the next day  Very unreliable spinet service , the transaction fee is too high 175 time to change for new and more loyal provider",2026-03-29 08:40:14+00:00,4 days ago,"['Support failure', 'Pricing/Refunds']",False,40,MEDIUM RISK (Monitor)
Fardin,5,Good Service and fantastic customer…,Good Service and fantastic customer support Also great commission,2026-03-29 07:31:44+00:00,4 days ago,['Support failure'],False,0,LOW RISK (Healthy)
Abdulkarem Alsayadi,5,Easy and quick,Easy and quick,2026-03-29 01:55:02+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Gill Clark,5,Excellent Service,Excellent Service,2026-03-29 01:46:52+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Abdulaziz Abbasy,1,Too slow transferring,Too slow transferring,2026-03-29 01:17:21+00:00,5 days ago,['General Dissatisfaction'],False,60,HIGH RISK (Churn Likely)
Svetlana Grasman-Mamedov,5,Good bro cool,,2026-03-28 22:58:28+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Rukhsar Muhammad Nagra,5,Good customer service,Good customer service,2026-03-28 22:49:55+00:00,5 days ago,[],True,0,LOW RISK (Healthy)
Lee Rogers,5,Easy to use fast payout now also nice…,Easy to use fast payout now also nice to have help with the cash your box if you need it I was gonna use it more to keep records of my business cash payments and payments made Excellent,2026-03-28 21:22:53+00:00,5 days ago,['Support failure'],False,0,LOW RISK (Healthy)
Sajid Mahmood,4,Good,Very good work,2026-03-28 21:15:49+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Ali Kucukarslan,5,I am very happy,I am very happy,2026-03-28 20:58:59+00:00,5 days ago,['Technical/Hardware'],True,0,LOW RISK (Healthy)
Geert,4,Sumup generally good to use,"Sumup provides a great and usefull platform The only sidenote i have is that the payments are in my opinion slower than i prever Altough i have chosen daly payments, its often 2 or 3 days delayed But overall im happy with Sumup",2026-03-28 20:26:14+00:00,5 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Kayleigh Spencer,5,Great service and no problems,,2026-03-28 19:12:22+00:00,5 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Eugen Andrei,5,For me all services ate top 🔝 and…,For me all services ate top 🔝 and suport helping me white all my problems 🙏🤝👍🙏,2026-03-28 18:39:41+00:00,5 days ago,"['Support failure', 'Technical/Hardware']",False,0,LOW RISK (Healthy)
michael Vaz,5,Great business,Great business,2026-03-28 17:11:07+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Salome Ongom,5,I get my money in time,I get my money in time,2026-03-28 17:00:31+00:00,5 days ago,['Account/Funds Blocked'],False,0,LOW RISK (Healthy)
DAVEDANGEROUS,1,Absolute waste of time,Absolute waste of time Payments take ages to come through just to verify who iam but yet when uploading all the documents they cant be bothered to just update the file right away Spoke to customer services twice and they are absolute Jokers not sorting it out  ‪85250524‬ is the reference,2026-03-28 16:57:01+00:00,5 days ago,['General Dissatisfaction'],False,60,HIGH RISK (Churn Likely)
MAHMUT ERTAS,5,Very good service thank you,Very good service thank you,2026-03-28 16:50:52+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Fiona Shires,5,Great service,"Simple, easy way to accept payments",2026-03-28 16:46:07+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Terry Aitkins,2,When it works its great,When it works its great When it works,2026-03-28 14:45:46+00:00,5 days ago,['General Dissatisfaction'],False,40,MEDIUM RISK (Monitor)
Nayham Creations,5,My most memorable experience with SumUp…,"My most memorable experience with SumUp dates back to when I returned from France to England I’d put my handbag in my suitcase before having it weighed, as I didn’t want to carry anything When I went to collect my suitcase, I couldn’t find it I reported it missing at London Airport they searched everywhere, checked the CCTV footage, and told me they couldn’t find my suitcase I thought to myself ‘This can’t be true’ About 45 minutes or an hour had passed when I received a notification from SumUp informing me that my card was being used in a drinks shop It took me a few more minutes to realise that my suitcase had been stolen Thank goodness I didn’t have any problems I followed the necessary steps with SumUp via the app, and I was fully reimbursed after a few days It was a relief Especially after I got back from my trip",2026-03-28 14:45:39+00:00,5 days ago,"['Support failure', 'Technical/Hardware']",False,0,LOW RISK (Healthy)
Mulugeta Kahsay,5,It’s amazing quality and quick delivery…,It’s amazing quality and quick delivery service 😀😀,2026-03-28 14:34:13+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
anthony jones,4,Low commission,,2026-03-28 14:08:02+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Yasir Bashir,1,Pathetic services,"Pathetic services, have put my account on hold for last three weeks and despite contacting them several time no one is bothering to resolve the matter",2026-03-28 13:39:56+00:00,5 days ago,['Account/Funds Blocked'],False,60,HIGH RISK (Churn Likely)
Shehu Godwin,5,Great performer,"Great performer, always deliver good service, prompt payment and fair commission taken",2026-03-28 13:29:46+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Ann Aziz,1,Been having problems with my Sumup Card…,"Been having problems with my Sumup card,declined and pin code error on and off again without reasonCalled to complaint,said will sort out and get emailedThere were none till today but the £19 charges always ontime never failed thinking to terminate it for good",2026-03-28 13:05:41+00:00,5 days ago,"['Technical/Hardware', 'Pricing/Refunds']",False,60,HIGH RISK (Churn Likely)
carlton griffiths,5,Very good indeed,Very good indeed,2026-03-28 13:03:17+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Oleg Dadayan,5,Good service simple service,Good service simple service,2026-03-28 12:57:41+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
G.Gill ireland,5,Great service easy to use reliable safe…,Great service easy to use reliable safe and never let me down,2026-03-28 12:37:55+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Anne Campbell,4,So far good service,Good service had no issues so far service team responded well,2026-03-28 12:29:09+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Amit Amit,5,I like it I am very happy,I like it I am very happy,2026-03-28 12:26:46+00:00,5 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Brahim Semail,5,Merci top 👌👌👌,,2026-03-28 12:17:07+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Kieran,5,Very simple an effective way to be paid…,Very simple an effective way to be paid using a card machineand prompt payments to me,2026-03-28 12:17:04+00:00,5 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Brahim Semail,5,Merci top 👌👌👌,,2026-03-28 12:17:07+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Kieran,5,Very simple an effective way to be paid…,Very simple an effective way to be paid using a card machineand prompt payments to me,2026-03-28 12:17:04+00:00,5 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
steven jones,5,So simple to use,Simple efficient,2026-03-28 12:14:22+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Taimoor Ali,5,Service,Service payment,2026-03-28 12:06:58+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
John Henry,2,I have been trying to get a New Sumup…,I have been trying to get a New Sumup credit card for ages but to no avail can you please Help Me,2026-03-28 12:01:12+00:00,5 days ago,['Support failure'],False,40,MEDIUM RISK (Monitor)
ROBERT LUCAS,5,Payments go through right away and the…,Payments go through right away and the loans are very helpful,2026-03-28 11:48:06+00:00,5 days ago,['Support failure'],False,0,LOW RISK (Healthy)
Verónica Landi,5,It works great and it helps a lot to…,"It works great and it helps a lot to take payments, I love it",2026-03-28 11:27:53+00:00,5 days ago,['Support failure'],False,0,LOW RISK (Healthy)
Aks abbas Shah,5,Very best,"Very best, fast, humble process and professional",2026-03-28 11:00:34+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Yasir Hussain,5,Its good100,,2026-03-28 10:51:09+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Sales,5,Test,Test test test,2026-03-28 09:58:26+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Michelle,5,A great addition to my business,It’s just so easy to use the handset I’m kept up to date about the progress and when I can transfer to my account and it is all done very quickly and supported with a clear record of the transaction,2026-03-28 09:09:49+00:00,5 days ago,['Support failure'],False,0,LOW RISK (Healthy)
Gregory Pollet,5,Cet une super applications,Cet une super applications,2026-03-28 08:48:28+00:00,5 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
stephen mcvey,5,I have been with SumUpcom for 5 years…,"I have been with SumUpcom for 5 years and I am very happy with the excellent customer service we receive, we are super impressed with the customer friendly functionality of the whole sale process with a very smooth operation throughout the sale process for vendor and our customers thank you to SumUpcom ❤️👍🏴󠁧󠁢󠁳󠁣󠁴󠁿⭐️💕🏆",2026-03-28 03:45:16+00:00,6 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Atif,5,Amazing for small businesses,Amazing for small businesses,2026-03-28 01:07:43+00:00,6 days ago,[],False,0,LOW RISK (Healthy)
Erendira Mendoza,5,Easy to understand and variable way to…,Easy to understand and variable way to collect payments from clients remotely,2026-03-28 00:24:13+00:00,6 days ago,[],False,0,LOW RISK (Healthy)
Emmanuel Eruteta,4,Im so happy coz my job is busy,Coz my job is getting better,2026-03-27 23:54:29+00:00,6 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
AMJAD HUSSAIN,5,It’s amazing service,It’s amazing service Im very happy,2026-03-27 23:23:18+00:00,6 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Muhammad Shafiq,5,Good,Good service,2026-03-27 23:17:56+00:00,6 days ago,[],False,0,LOW RISK (Healthy)
MR T RAFIQ,5,It so easy and transfer money so quick,It so easy and transfer money so quick,2026-03-27 20:22:56+00:00,6 days ago,['Account/Funds Blocked'],False,0,LOW RISK (Healthy)
Maryna Cole,5,Excellent platform,Excellent platform,2026-03-27 18:39:09+00:00,6 days ago,[],False,0,LOW RISK (Healthy)
Emma McCormack,1,Dont waste your time,"I would not recommend sum up at all I have been with the the last 4 years it started off great but the last 6 months have been torcher so much so its come time for us to move our business elsewhere Their customer service its terrible, they spend time arguing with you on the phone rather than try to fix the issue When you finally get them to agree to fix an issue youve to spend hours chasing them for updates They have changed their plans recently too and now are much more expensive If your VAT registered stay away from them",2026-03-27 15:37:03+00:00,6 days ago,"['Support failure', 'Pricing/Refunds']",False,60,HIGH RISK (Churn Likely)
Fatou Fall,5,Gracias ❤️❤️❤️❤️,,2026-03-27 14:20:14+00:00,6 days ago,[],False,0,LOW RISK (Healthy)
Hannah Bass,5,I had a problem with the machine and…,I had a problem with the machine and tech sorted it straight away,2026-03-27 13:59:07+00:00,6 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
NPE,1,Reaching a support agent is… Loaren,"Reaching a support agent is unnecessarily difficult In addition, when I was able to connect with one, they did not fully understand the issue and were unable to provide effective assistance",2026-03-27 12:28:03+00:00,6 days ago,['Support failure'],False,60,HIGH RISK (Churn Likely)
Dimitrios Tsompanidis,5,Super Service,Easy Application,2026-03-27 11:31:00+00:00,6 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
R Frith,5,Easier then any other bank,Easier then any other bank to deal with Quicker to sort any problems then other banks Easier to get answers then any other bank  Do exactly what they say,2026-03-27 11:26:57+00:00,6 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Karina,4,All ok apart from being forced to do…,All ok apart from being forced to do this review ,2026-03-27 10:19:21+00:00,6 days ago,['Account/Funds Blocked'],False,0,LOW RISK (Healthy)
Victoria Lee,4,Up to yet really good service,Up to yet really good service,2026-03-27 10:17:20+00:00,6 days ago,[],False,0,LOW RISK (Healthy)
Maxime Weydert,3,Good but equipement is not great,The website and idea is really good but i have often problems with my machine who is only 2 months old,2026-03-27 10:01:49+00:00,6 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Rachel Kelly,5,Excellent service,,2026-03-27 09:48:03+00:00,6 days ago,[],False,0,LOW RISK (Healthy)
BonAbri Vacances,4,We as bed and breakfast are happy with SumUp,"We have a bed and breakfast in a small town in the SouthWest of France No banks, no cash machines within 14 km The possibility to have SumUp is not only good for our guests but also for us Guests dont need cash for unexpected expenses, like dinner and drinhs For us as a bb owners is having the payment options from SumUp giving us a lot of advantages a very reasonable price With a booking I can ask on an easy way for a deposit Guests are spending more on food and drinks More last minute reservations And we dont need to have a lot of cash money in the house Maybe you want to say what has this to do with SumUp First SumUp ask a more than reasonable price for their machines, secondly the procentage of fees are reasonable And the few times I had a problem with a machine they were there for me A colleague of mine has a contract with a French bank, no assistance when he has a problem in the evening or even worse in the weekend He pays every month an account fee, 50 euro every year for the obligatory credit card and a lot more of other fees, the machines cost up to 5 times more and certainly not working better We a small company are happy with SumUp SumUp give also small companies to possibility to accept credit card",2026-03-27 09:15:56+00:00,6 days ago,"['Account/Funds Blocked', 'Technical/Hardware', 'Pricing/Refunds']",False,0,LOW RISK (Healthy)
Azeem Subhani,5,Great and very helpful Wonderful,Great Great and very helpful Wonderful,2026-03-27 09:14:42+00:00,6 days ago,['Support failure'],False,0,LOW RISK (Healthy)
